user_id,signup_date,email_domain,email_type,first_api_call_date,total_credit_spend_usd,days_active,primary_product,products_used,integration_method,purchased,purchase_date,became_sql,sql_date,monthly_usage_pattern
usr_00000,2026-02-11,voicefirst.ai,business,,0.0,0,,,none,False,,False,,[]
usr_00001,2026-02-21,protonmail.com,personal,2026-02-21,0.23,1,stt,stt,console_only,False,,False,,[0.23]
usr_00002,2026-01-18,outlook.com,personal,,0.0,0,,,none,False,,False,,[]
usr_00003,2025-09-02,yahoo.com,personal,,0.0,0,,,none,False,,False,,[]
usr_00004,2025-10-10,callbot.co,business,,0.0,0,,,none,False,,False,,[]
usr_00005,2025-11-28,aol.com,personal,2025-11-28,0.92,1,stt,stt,console_only,False,,False,,"[0.42, 0.28, 0.22]"
usr_00006,2025-09-18,mediagroup.net,business,,0.0,0,,,none,False,,False,,[]
usr_00007,2025-09-26,outlook.com,personal,,0.0,0,,,none,False,,False,,[]
usr_00008,2025-12-04,icloud.com,personal,,0.0,0,,,none,False,,False,,[]
usr_00009,2026-02-13,saasplatform.com,business,2026-02-15,0.93,1,stt,stt,console_only,False,,False,,[0.93]
usr_00010,2025-09-09,outlook.com,personal,,0.0,0,,,none,False,,False,,[]
usr_00011,2026-01-24,hotmail.com,personal,,0.0,0,,,none,False,,False,,[]
usr_00012,2026-02-12,hotmail.com,personal,2026-02-15,9.08,4,stt,stt,console_only,False,,False,,[9.08]
usr_00013,2025-09-29,finserv.co,business,,0.0,0,,,none,False,,False,,[]
usr_00014,2025-12-07,outlook.com,personal,,0.0,0,,,none,False,,False,,[]
usr_00015,2025-09-03,gmail.com,personal,,0.0,0,,,none,False,,False,,[]
usr_00016,2025-11-08,hotmail.com,personal,2025-11-08,9.58,3,voice_agent,voice_agent,sdk,False,,False,,"[4.31, 2.83, 2.44]"
usr_00017,2025-10-12,aol.com,personal,,0.0,0,,,none,False,,False,,[]
usr_00018,2026-02-01,gmail.com,personal,2026-02-01,321.02,14,stt,stt,direct_api,False,,False,,[321.02]
usr_00019,2025-09-18,protonmail.com,personal,,0.0,0,,,none,False,,False,,[]
usr_00020,2025-12-31,yahoo.com,personal,,0.0,0,,,none,False,,False,,[]
usr_00021,2025-12-18,protonmail.com,personal,,0.0,0,,,none,False,,False,,[]
usr_00022,2025-11-19,icloud.com,personal,,0.0,0,,,none,False,,False,,[]
usr_00023,2026-01-11,yahoo.com,personal,,0.0,0,,,none,False,,False,,[]
usr_00024,2026-01-29,protonmail.com,personal,,0.0,0,,,none,False,,False,,[]
usr_00025,2026-02-09,voiceapp.ai,business,,0.0,0,,,none,False,,False,,[]
usr_00026,2025-10-31,outlook.com,personal,,0.0,0,,,none,False,,False,,[]
usr_00027,2026-01-25,yahoo.com,personal,,0.0,0,,,none,False,,False,,[]
usr_00028,2025-10-19,devtools.dev,business,,0.0,0,,,none,False,,False,,[]
usr_00029,2025-09-14,icloud.com,personal,2025-09-14,0.86,1,stt,stt,console_only,False,,False,,"[0.33, 0.2, 0.1, 0.07, 0.16]"
usr_00030,2026-01-19,saasplatform.com,business,,0.0,0,,,none,False,,False,,[]
usr_00031,2025-10-31,aiventures.ai,business,,0.0,0,,,none,False,,False,,[]
usr_00032,2025-10-13,outlook.com,personal,,0.0,0,,,none,False,,False,,[]
usr_00033,2025-12-26,icloud.com,personal,,0.0,0,,,none,False,,False,,[]
usr_00034,2026-01-21,outlook.com,personal,2026-01-21,157.92,10,tts,tts,sdk,False,,False,,[157.92]
usr_00035,2026-01-09,finserv.co,business,2026-01-09,70.19,22,stt,stt,sdk,False,,False,,[70.19]
usr_00036,2026-01-12,hotmail.com,personal,,0.0,0,,,none,False,,False,,[]
usr_00037,2025-11-01,yahoo.com,personal,,0.0,0,,,none,False,,False,,[]
usr_00038,2025-11-20,gmail.com,personal,2025-11-21,0.22,1,stt,stt,sdk,False,,False,,"[0.12, 0.03, 0.07]"
usr_00039,2026-02-28,aol.com,personal,,0.0,0,,,none,False,,False,,[]
usr_00040,2026-01-20,icloud.com,personal,2026-01-21,16.22,6,voice_agent,voice_agent,direct_api,False,,False,,[16.22]
usr_00041,2025-09-14,dataflow.io,business,,0.0,0,,,none,False,,False,,[]
usr_00042,2025-10-04,hotmail.com,personal,2025-10-04,32.44,3,stt,stt,direct_api,False,,False,,"[18.22, 5.95, 4.41, 3.86]"
usr_00043,2025-11-18,aol.com,personal,,0.0,0,,,none,False,,False,,[]
usr_00044,2025-12-01,mediagroup.net,business,,0.0,0,,,none,False,,False,,[]
usr_00045,2025-12-14,icloud.com,personal,2026-02-18,0.42,1,stt,stt,direct_api,False,,False,,"[0.15, 0.27]"
usr_00046,2025-11-03,aol.com,personal,,0.0,0,,,none,False,,False,,[]
usr_00047,2025-09-10,yahoo.com,personal,,0.0,0,,,none,False,,False,,[]
usr_00048,2025-11-29,aol.com,personal,,0.0,0,,,none,False,,False,,[]
usr_00049,2026-02-16,startupxyz.com,business,,0.0,0,,,none,False,,False,,[]
usr_00050,2025-11-29,outlook.com,personal,,0.0,0,,,none,False,,False,,[]
usr_00051,2025-11-24,gmail.com,personal,,0.0,0,,,none,False,,False,,[]
usr_00052,2026-01-27,hotmail.com,personal,2026-01-29,0.98,1,stt,stt,direct_api,False,,False,,[0.98]
usr_00053,2026-01-12,protonmail.com,personal,,0.0,0,,,none,False,,False,,[]
usr_00054,2026-02-19,dataflow.io,business,2026-02-21,2.12,3,tts,tts,console_only,False,,False,,[2.12]
usr_00055,2025-12-07,yahoo.com,personal,,0.0,0,,,none,False,,False,,[]
usr_00056,2026-01-19,hotmail.com,personal,,0.0,0,,,none,False,,False,,[]
usr_00057,2026-01-27,hotmail.com,personal,,0.0,0,,,none,False,,False,,[]
usr_00058,2025-10-25,aol.com,personal,,0.0,0,,,none,False,,False,,[]
usr_00059,2025-10-14,hotmail.com,personal,,0.0,0,,,none,False,,False,,[]
usr_00060,2025-11-25,callbot.co,business,,0.0,0,,,none,False,,False,,[]
usr_00061,2025-10-08,mediagroup.net,business,,0.0,0,,,none,False,,False,,[]
usr_00062,2025-12-26,icloud.com,personal,,0.0,0,,,none,False,,False,,[]
usr_00063,2025-12-08,yahoo.com,personal,2026-01-05,18.75,10,stt,stt,sdk,False,,False,,"[10.63, 8.12]"
usr_00064,2026-01-14,protonmail.com,personal,,0.0,0,,,none,False,,False,,[]
usr_00065,2025-12-23,icloud.com,personal,,0.0,0,,,none,False,,False,,[]
usr_00066,2026-01-19,yahoo.com,personal,,0.0,0,,,none,False,,False,,[]
usr_00067,2025-11-06,aol.com,personal,,0.0,0,,,none,False,,False,,[]
